Facility ID,Facility Name,State,avg_patient_experience,hcahps_measure_rows,avg_answer_percent,avg_completed_surveys,avg_response_rate
521325,FLAMBEAU HOSPITAL,WI,5.0,9,,108.0,40.0
280129,NEBRASKA ORTHOPAEDIC HOSPITAL,NE,5.0,9,,156.0,43.0
25039F,81st Medical Group (Keesler AFB),MS,5.0,9,,353.0,33.0
521345,WESTFIELDS HOSPITAL AND CLINIC,WI,5.0,9,,190.0,25.0
521343,STOUGHTON HOSPITAL,WI,5.0,9,,164.0,47.0
520194,ORTHOPAEDIC HOSPITAL OF WISCONSIN,WI,5.0,9,,285.0,55.0
390323,ADVANCED SURGICAL HOSPITAL,PA,5.0,9,,283.0,74.0
141302,MIDWEST MEDICAL CENTER,IL,5.0,9,,118.0,41.0
141305,MEMORIAL HOSPITAL,IL,5.0,9,,121.0,32.0
440007,UNITY MEDICAL CENTER,TN,5.0,9,,138.0,31.0
261325,COX BARTON COUNTY HOSPITAL,MO,5.0,9,,116.0,30.0
360352,SURGICAL HOSPITAL AT SOUTHWOODS,OH,5.0,9,,236.0,47.0
13003F,BOISE VA MEDICAL CENTER,ID,5.0,9,,513.0,45.0
521354,SOUTHWEST HEALTH CENTER,WI,5.0,9,,180.0,30.0
511309,VALLEY HEALTH WAR MEMORIAL HOSPITAL,WV,5.0,9,,138.0,30.0
110050,ADVENTHEALTH MURRAY,GA,5.0,9,,137.0,19.0
35002F,FARGO VA MEDICAL CENTER,ND,5.0,9,,448.0,45.0
521352,UPLAND HILLS HEALTH,WI,5.0,9,,216.0,36.0
041311,HOWARD MEMORIAL HOSPITAL,AR,5.0,9,,124.0,24.0
110233,"SOUTHEASTERN REGIONAL MEDICAL CENTER, INC",GA,5.0,9,,261.0,29.0
181329,CHI SAINT JOSEPH BEREA NF,KY,4.888888888888889,9,,116.0,18.0
390324,PHYSICIANS CARE SURGICAL HOSPITAL,PA,4.888888888888889,9,,117.0,58.0
261320,LAFAYETTE REGIONAL HEALTH CENTER,MO,4.888888888888889,9,,132.0,25.0
430090,SIOUX FALLS SPECIALTY HOSPITAL,SD,4.888888888888889,9,,183.0,57.0
190184,CITIZENS MEDICAL CENTER,LA,4.888888888888889,9,,128.0,37.0
370216,TULSA SPINE & SPECIALTY HOSPITAL,OK,4.888888888888889,9,,383.0,41.0
250002,TISHOMINGO HEALTH SERVICES INC,MS,4.888888888888889,9,,122.0,23.0
521348,VERNON MEMORIAL HOSPITAL,WI,4.888888888888889,9,,195.0,37.0
241373,PERHAM HEALTH,MN,4.888888888888889,9,,180.0,32.0
241376,GLACIAL RIDGE HOSPITAL,MN,4.888888888888889,9,,200.0,39.0
521359,TAMARACK HEALTH ASHLAND MEDICAL CENTER,WI,4.888888888888889,9,,256.0,24.0
191302,OCHSNER ST MARTIN HOSPITAL,LA,4.888888888888889,9,,118.0,22.0
010045,FAYETTE MEDICAL CENTER,AL,4.888888888888889,9,,138.0,33.0
161361,VAN DIEST MEDICAL CENTER,IA,4.888888888888889,9,,117.0,38.0
36006F,88th Medical Group (Wright-Patterson AFB),OH,4.888888888888889,9,,211.0,42.0
130063,TREASURE VALLEY HOSPITAL,ID,4.888888888888889,9,,329.0,56.0
261329,COX MONETT HOSPITAL,MO,4.888888888888889,9,,186.0,30.0
161317,COMPASS MEMORIAL HEALTHCARE,IA,4.888888888888889,9,,122.0,43.0
190267,AVALA,LA,4.888888888888889,9,,343.0,43.0
521333,BLACK RIVER MEMORIAL HOSPITAL,WI,4.888888888888889,9,,105.0,33.0
280131,MIDWEST SURGICAL HOSPITAL LLC,NE,4.888888888888889,9,,265.0,62.0
490116,LEWISGALE HOSPITAL PULASKI,VA,4.888888888888889,9,,142.0,16.0
221304,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,MA,4.888888888888889,9,,126.0,35.0
511317,"CAMC PLATEAU MEDICAL CENTER, INC",WV,4.888888888888889,9,,129.0,27.0
511321,"ST JOSEPH'S HOSPITAL OF BUCKHANNON, INC",WV,4.888888888888889,9,,253.0,24.0
281334,BOONE COUNTY HEALTH CENTER,NE,4.888888888888889,9,,107.0,41.0
23011F,VA ANN ARBOR HEALTHCARE SYSTEM,MI,4.888888888888889,9,,507.0,42.0
281352,"COMMUNITY MEDICAL CENTER, INC",NE,4.888888888888889,9,,126.0,31.0
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,AR,4.888888888888889,9,,359.0,33.0
170183,KANSAS SURGERY & RECOVERY CENTER,KS,4.888888888888889,9,,123.0,44.0
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,KS,4.888888888888889,9,,328.0,57.0
451319,CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE,TX,4.888888888888889,9,,107.0,21.0
450875,QUAIL CREEK SURGICAL HOSPITAL,TX,4.888888888888889,9,,260.0,44.0
111320,HIGGINS GENERAL HOSPITAL,GA,4.888888888888889,9,,110.0,28.0
49001F,Fort Belvoir Community Hospital,VA,4.888888888888889,9,,1026.0,32.0
511311,HAMPSHIRE MEMORIAL HOSPITAL,WV,4.888888888888889,9,,111.0,25.0
451379,CORYELL MEMORIAL HOSPITAL,TX,4.888888888888889,9,,150.0,29.0
241345,MAYO CLINIC HEALTH SYSTEM - WASECA,MN,4.888888888888889,9,,112.0,34.0
43005F,SIOUX FALLS VA MEDICAL CENTER,SD,4.888888888888889,9,,294.0,47.0
520095,SAUK PRAIRIE HOSPITAL,WI,4.888888888888889,9,,349.0,39.0
521308,AMERY HOSPITAL & CLINIC,WI,4.888888888888889,9,,182.0,30.0
521320,TOMAH MEMORIAL HOSPITAL,WI,4.888888888888889,9,,209.0,27.0
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,4.888888888888889,9,,102.0,20.0
521330,CROSSING RIVERS HEALTH MEDICAL CENTER,WI,4.888888888888889,9,,108.0,31.0
521358,DOOR COUNTY MEDICAL CENTER,WI,4.888888888888889,9,,190.0,35.0
451367,UT HEALTH EAST TEXAS PITTSBURG HOSPITAL,TX,4.888888888888889,9,,138.0,22.0
140100,"MIDWESTERN REGION MED CENTER, INC",IL,4.888888888888889,9,,133.0,26.0
491309,LEE COUNTY COMMUNITY HOSPITAL,VA,4.888888888888889,9,,114.0,30.0
461307,INTERMOUNTAIN HEALTH HEBER VALLEY HOSPITAL,UT,4.888888888888889,9,,146.0,23.0
450888,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,TX,4.888888888888889,9,,134.0,40.0
11032F,Martin ACH (FT Benning),GA,4.888888888888889,9,,272.0,23.0
191324,OCHSNER ST ANNE GENERAL HOSPITAL,LA,4.888888888888889,9,,225.0,20.0
201315,MAINEHEALTH STEPHENS HOSPITAL,ME,4.777777777777778,9,,318.0,25.0
141319,HAMMOND HENRY HOSPITAL,IL,4.777777777777778,9,,174.0,40.0
430091,BLACK HILLS SURGICAL HOSPITAL LLC,SD,4.777777777777778,9,,525.0,52.0
051328,TAHOE FOREST HOSPITAL,CA,4.777777777777778,9,,253.0,21.0
051303,MAMMOTH HOSPITAL,CA,4.777777777777778,9,,102.0,28.0
440060,WEST TENNESSEE HEALTHCARE MILAN HOSPITAL,TN,4.777777777777778,9,,100.0,28.0
360270,MERCY HEALTH - DEFIANCE HOSPITAL,OH,4.777777777777778,9,,233.0,29.0
360368,KETTERING HEALTH TROY,OH,4.777777777777778,9,,373.0,28.0
43002F,VA BLACK HILLS HEALTHCARE SYSTEM,SD,4.777777777777778,9,,200.0,40.0
