Facility ID,Facility Name,State,unplanned_measure_rows,available_unplanned_comparisons,worse_than_national_count,better_than_national_count,no_different_count,avg_unplanned_score,worse_than_national_rate
100007,ADVENTHEALTH ORLANDO,FL,14,14,9,0,5,17.257142857142856,0.6428571428571429
100260,ST LUCIE MEDICAL CENTER,FL,14,13,8,0,4,22.150000000000002,0.6153846153846154
050030,OROVILLE HOSPITAL,CA,14,13,7,0,6,20.72307692307692,0.5384615384615384
310086,JEFFERSON STRATFORD HOSPITAL,NJ,14,13,6,0,7,18.73846153846154,0.46153846153846156
220077,BAYSTATE MEDICAL CENTER,MA,14,14,6,0,8,14.171428571428573,0.42857142857142855
210001,MERITUS MEDICAL CENTER,MD,14,13,6,0,7,16.253846153846155,0.46153846153846156
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,14,14,6,0,8,20.085714285714285,0.42857142857142855
330194,MAIMONIDES MEDICAL CENTER,NY,14,14,6,1,7,23.49285714285714,0.42857142857142855
220105,WINCHESTER HOSPITAL,MA,14,13,6,0,6,14.5,0.46153846153846156
220090,MILFORD REGIONAL MEDICAL CENTER,MA,14,13,6,0,4,15.35,0.46153846153846156
10009F,BAY PINES VA MEDICAL CENTER,FL,14,9,5,0,4,16.01111111111111,0.5555555555555556
450672,MEDICAL CITY FORT WORTH,TX,14,14,5,0,7,22.258333333333336,0.35714285714285715
310069,INSPIRA MEDICAL CENTER MULLICA HILL,NJ,14,13,5,0,7,17.158333333333335,0.38461538461538464
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,14,14,5,0,8,19.184615384615384,0.35714285714285715
310014,COOPER UNIVERSITY HOSPITAL,NJ,14,14,5,1,8,12.457142857142857,0.35714285714285715
310048,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,NJ,14,13,5,0,8,19.676923076923078,0.38461538461538464
050039,ENLOE HEALTH,CA,14,14,5,0,9,12.085714285714285,0.35714285714285715
310041,COMMUNITY MEDICAL CENTER,NJ,14,13,5,0,8,17.846153846153847,0.38461538461538464
050426,WEST ANAHEIM MEDICAL CENTER,CA,14,12,5,0,3,21.8375,0.4166666666666667
100223,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,FL,14,14,5,0,7,14.783333333333333,0.35714285714285715
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,MS,14,14,5,0,9,15.942857142857141,0.35714285714285715
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,AR,14,9,5,0,3,29.2625,0.5555555555555556
370056,MEMORIAL HEALTH,OK,14,14,5,0,9,15.114285714285714,0.35714285714285715
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,CA,14,9,5,0,4,26.72222222222222,0.5555555555555556
180088,"NORTON HOSPITALS, INC",KY,14,14,5,1,8,16.54285714285714,0.35714285714285715
230041,MCLAREN BAY REGION,MI,14,14,5,0,9,15.857142857142858,0.35714285714285715
030006,TUCSON MEDICAL CENTER,AZ,14,14,5,0,9,14.778571428571428,0.35714285714285715
